wavelength,xbar,ybar,zbar
632,1.732519936,0.024515538,-0.000850617
633,1.676862784,0.022652838,-0.000785986
634,1.621205632,0.020790138,-0.000721356
635,1.56554848,0.018927438,-0.000656726
636,1.509891328,0.017064738,-0.000592096
637,1.454234176,0.015202037,-0.000527466
638,1.398577024,0.013339337,-0.000462836
639,1.342919872,0.011476637,-0.000398205
640,1.28726272,0.009613937,-0.000333575
641,1.231605568,0.007751236,-0.000268945
642,1.175948416,0.005888536,-0.000204315
643,1.120291264,0.004025836,-0.000139685
644,1.064634112,0.002163136,-7.50544E-05
645,1.00897696,0.000300436,-1.04242E-05
646,0.972680508,-6.95311E-05,6.60934E-06
647,0.940107267,-0.000152434,1.44897E-05
648,0.907534026,-0.000235336,2.23701E-05
649,0.874960786,-0.000318239,3.02504E-05
650,0.842387545,-0.000401141,3.81308E-05
651,0.809814304,-0.000484044,4.60112E-05
652,0.777241064,-0.000566946,5.38915E-05
653,0.744667823,-0.000649849,6.17719E-05
654,0.712094582,-0.000732751,6.96523E-05
655,0.679521342,-0.000815654,7.75326E-05
656,0.646948101,-0.000898556,8.5413E-05
657,0.61437486,-0.000981459,9.32933E-05
658,0.581801619,-0.001064361,0.000101174
659,0.549228379,-0.001147264,0.000109054
660,0.516655138,-0.001230166,0.000116934
661,0.484081897,-0.001313069,0.000124815
662,0.451508657,-0.001395972,0.000132695
663,0.418935416,-0.001478874,0.000140576
664,0.386362175,-0.001561777,0.000148456
665,0.353788935,-0.001644679,0.000156336
666,0.321215694,-0.001727582,0.000164217
667,0.296036659,-0.00176373,0.000167525
668,0.285646036,-0.001706369,0.000161689
669,0.275255413,-0.001649008,0.000155852
670,0.26486479,-0.001591647,0.000150016
671,0.254474166,-0.001534286,0.00014418
672,0.244083543,-0.001476925,0.000138344
673,0.23369292,-0.001419564,0.000132507
674,0.223302297,-0.001362204,0.000126671
675,0.212911674,-0.001304843,0.000120835
676,0.202521051,-0.001247482,0.000114999
677,0.192130427,-0.001190121,0.000109162
678,0.181739804,-0.00113276,0.000103326
679,0.171349181,-0.001075399,9.74899E-05
680,0.160958558,-0.001018038,9.16536E-05
681,0.150567935,-0.000960677,8.58174E-05
682,0.140177312,-0.000903317,7.99812E-05
683,0.129786689,-0.000845956,7.41449E-05
684,0.119396065,-0.000788595,6.83087E-05
685,0.109005442,-0.000731234,6.24724E-05
686,0.098614819,-0.000673873,5.66362E-05
687,0.088224196,-0.000616512,5.08E-05
688,0.077833573,-0.000559151,4.49637E-05
689,0.06744295,-0.00050179,3.91275E-05
690,0.05992234,-0.000458682,3.48947E-05
691,0.057854754,-0.000442652,3.37086E-05
692,0.055787169,-0.000426622,3.25226E-05
693,0.053719584,-0.000410592,3.13365E-05
694,0.051651998,-0.000394562,3.01504E-05
695,0.049584413,-0.000378532,2.89643E-05
696,0.047516828,-0.000362502,2.77782E-05
697,0.045449243,-0.000346472,2.65921E-05
698,0.043381657,-0.000330442,2.5406E-05
699,0.041314072,-0.000314413,2.42199E-05
700,0.039246487,-0.000298383,2.30338E-05
701,0.037178901,-0.000282353,2.18478E-05
702,0.035111316,-0.000266323,2.06617E-05
703,0.033043731,-0.000250293,1.94756E-05
704,0.030976146,-0.000234263,1.82895E-05
705,0.02890856,-0.000218233,1.71034E-05
706,0.026840975,-0.000202203,1.59173E-05
707,0.02477339,-0.000186173,1.47312E-05
708,0.022705804,-0.000170143,1.35451E-05
709,0.020638219,-0.000154114,1.2359E-05
710,0.018570634,-0.000138084,1.1173E-05
711,0.016503049,-0.000122054,9.98687E-06
712,0.014435463,-0.000106024,8.80078E-06
713,0.012367878,-8.9994E-05,7.61469E-06
714,0.010300293,-7.39641E-05,6.4286E-06
